"link_de_post","conteudo_de_post","antivax","provax","conspiracionista","negacionista","profissao"
"https://www.instagram.com/reel/DFtux9ipYKx","Ivermectina poderia ter salvo todos infectados por covid-19",TRUE,NA,FALSE,TRUE,""
"https://www.instagram.com/reel/DFU_dFyOtVK","Vacina da covid-19 está causando câncer",TRUE,NA,TRUE,TRUE,"Médico oncologista e radiologista"
"https://www.instagram.com/reel/DF85aG7pt87","Pfizer: um ataque às mulheres e aos bebês",TRUE,NA,FALSE,TRUE,"Jornalista; Escritora"
"https://www.instagram.com/p/DFiLPL6RkhK","Preocupação com covid19 pode levar ao cancelamento do carnaval em algumas cidades",FALSE,NA,FALSE,FALSE,""
"https://www.instagram.com/p/Cl_NyZjugEi","Mulher de 28 anos sofre mal súbito e morre",TRUE,NA,TRUE,TRUE,""
"https://www.instagram.com/reel/DGePE07hXTf","Assembleia pública com médicos antivacina",FALSE,NA,FALSE,FALSE,"Criador de vídeo"
"https://www.instagram.com/p/DGYfkmryuWY","Cientistas descobrem síndrome rara pós vacinação",FALSE,NA,FALSE,FALSE,""
