Antivax ou provax ,Conspiracionista,Negacionista,Categoria (profissão),Categoria (profissão) do perfil?
"Indicamos se o perfil e/ou post se apresentam como antivax (negacionista) ou provax — no caso do perfil, analisamos se parte considerável do conteúdo se volta a temas de saúde.","Indicamos se o perfil e/ou post apresentam discursos relacionados a chips de nanotecnologia, proteína spike, chip de hidrogel, agenda 2030, marca da besta, big pharma, bill gates etc...","Indicamos se o perfil e/ou post apresentam discursos negacionistas / céticos, isto é, questionam a eficácia das vacinas, relatam reações adversas, divulgam procedimentos de desintoxicação vacinal ou métodos alternativos para cuidados à saúde.",O objetivo é ter uma noção dos profissionais que estão produzindo conteúdo de saúde nas plataformas.,"Essa variável complementa a anterior: ela explicita se a categoria inserida diz respeito ao perfil ou ao principal interlocutor do post coletado, visto que é comum muitos usuários republicarem conteúdos."
TRUE (1) OR FALSE (0),TRUE (1) OR FALSE (0),TRUE (1) OR FALSE (0),TEXTO,TRUE (1) OR FALSE (0)
