Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Consiracionista?,Post Negacionista?
institutobutantan,https://www.tiktok.com/@institutobutantan,0,0,0,,,https://www.tiktok.com/@institutobutantan/video/6984156440571219205?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,A vacina da covid tem imã,0,0,0
nilvamirandabeautycenter,https://www.tiktok.com/@nilvamirandabeautycenter,0,0,0,Massoterapeuta,1,https://www.tiktok.com/@nilvamirandabeautycenter/video/6971610476669046022?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,A vacina da covid tem imã,1,1,0
questaonom,https://www.tiktok.com/@questaonom,1,1,1,,,https://www.tiktok.com/@questaonom/video/6856556073160133893?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Vacina contém fetos abordados ,1,1,1
rosemacedoendrigo,https://www.tiktok.com/@rosemacedoendrigo,0,0,0,,,https://www.tiktok.com/@rosemacedoendrigo/video/6981810810486066437?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Reação da astrazeneca,0,0,0
alexialimalf,https://www.tiktok.com/@alexialimalf,0,0,0,,,https://www.tiktok.com/@alexialimalf/video/7403461535420468486?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Vacine bebês,0,0,0
felipeuber5,https://www.tiktok.com/@felipeuber5,0,1,0,,,https://www.tiktok.com/@felipeuber5/video/7055657130409381126?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,"O médico infectologista Marcelo Parseghian enfatiza o desconhecimento quanto os efeitos a longo prazo da vacina da Covid-19, comentando, inclusive, a possibilidade de ""alterar o RNA da espécie humana"".",1,0,1
antoniaalves.33,https://www.tiktok.com/@antoniaalves.33,0,0,0,,,https://www.tiktok.com/@antoniaalves.33/video/7387570203359579398?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Pais sendo obrigados a dar vacina de covid ,1,0,1
the_cell_bio,https://www.tiktok.com/@the_cell_bio,0,0,0,,,https://www.tiktok.com/@the_cell_bio/video/7223617303676505349?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,Como funcionam as vacinas,0,0,0
bandnewsfm,https://www.tiktok.com/@bandnewsfm,0,0,0,,,https://www.tiktok.com/@bandnewsfm/video/7053089939432525062?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Primeira criança vacinada no Brasil,0,0,0
elcimarasouza173,https://www.tiktok.com/@elcimarasouza173,0,0,0,Enfermeira; Professora,1,https://www.tiktok.com/@elcimarasouza173/video/7438377465011031351?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,"Explicação da ""Vacina dT"" (dupla adulto)",0,0,0
kauanemoura1,https://www.tiktok.com/@kauanemoura1,0,0,0,,,https://www.tiktok.com/@kauanemoura1/video/7312533820291484933?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Dar ou não dar as vacinas da covid aos filhos,0,0,0
patricialuanareis,https://www.tiktok.com/@patricialuanareis,0,0,0,,,https://www.tiktok.com/@patricialuanareis/video/7470633928383139077?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Autorizei as vacinas na minha filha,0,0,0
deputadolucasneves,https://www.tiktok.com/@deputadolucasneves,0,0,0,Deputado Estadual,1,https://www.tiktok.com/@deputadolucasneves/video/7345192046874856709?is_from_webapp=1&sender_device=pc&web_id=7473926870364440070,Sou contra obrigatoriedade das vacinas em crianças,1,0,1
cleberos2,https://www.tiktok.com/@cleberos2,0,0,1,,,https://www.tiktok.com/@cleberos2/video/7054950517302103301?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,Médicos contra vacinação de crianças,1,0,1
prolavo,https://www.tiktok.com/@prolavo,0,0,0,,,https://www.tiktok.com/@prolavo/video/7462967970847837445?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,"O perfil dá indícios que seja antivacina, mas o vídeo é de Evandro Roberto Baldacci, verifiquei o perfil dele. Acredito que só alguém de saúde possa dizer se o discurso dele é anti ou pró vacina: https://www.instagram.com/prof.dr.evandro.r.baldacci/",0,0,0
marluesoursao,https://www.tiktok.com/@marluesoursao,1,1,1,,,https://www.tiktok.com/@marluesoursao/video/7425540702680927494?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,"Exposição das ""contra-indicações dos imunizantes de RNA"": ""DOUTOR LEANDRO ALMEIDA DI GRUPO MÉDICOS PELA VIDA EXPLICA COMO AS VACINAS RNA COVID-19 ESTIMULAM O ORGANISMO EM PERDA DE IMUNIDADES FALÊNCIA DE ÓRGÃOS""",1,0,1
almirjnior54,https://www.tiktok.com/@almirjnior54,0,1,0,,,https://www.tiktok.com/@almirjnior54/video/7473704058021235973,Surto de infarto e avc como possível resposta à covid-19,1,0,1
felipeuber5,https://www.tiktok.com/@felipeuber5,0,1,0,,,https://www.tiktok.com/@felipeuber5/video/7055657130409381126?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,"O médico infectologista Marcelo Parseghian enfatiza o desconhecimento quanto os efeitos a longo prazo da vacina da Covid-19, comentando, inclusive, a possibilidade de ""alterar o RNA da espécie humana"".",,,
,,,,,,,https://www.tiktok.com/@dosesdciencia/video/7466106092523785478?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,Explicação quanto a eficácia das vacinas de RNA,0,0,0
biosaude,https://www.tiktok.com/@biosaude,0,0,0,,,https://www.tiktok.com/@biosaude/video/6893691485468822785,As vacinas salvaram as crianças da poliomielite,0,0,0
concienciacoletiva,https://www.tiktok.com/@concienciacoletiva,0,0,0,,,https://www.tiktok.com/@concienciacoletiva/video/7433170733242748166,A desinformação pode colocar vidas em risco,0,0,0
rosangeladobrucki,https://www.tiktok.com/@rosangeladobrucki,1,0,1,,,https://www.tiktok.com/@rosangeladobrucki/video/7326260891463208198,É crime proibir crianças de estudar por não terem estarem vacinadas,1,0,1
opinioesdura2,https://www.tiktok.com/@opinioesdura2,0,0,0,,,https://www.tiktok.com/@opinioesdura2/video/7296879988102466822,Todos os países não obrigam a vacinação: algo macabro na obrigatoriedade brasileira,1,1,0
doutormarcone,https://www.tiktok.com/@doutormarcone,0,0,0,Médico neuropediatra,1,https://www.tiktok.com/@doutormarcone/video/6919234615400008966,As crianças não devem ser vacinadas contra covid-19. Bastante conteúdo sobre autismo no perfil.,1,0,1
_jessiiicaandrade,https://www.tiktok.com/@_jessiiicaandrade,0,0,0,,,https://www.tiktok.com/@_jessiiicaandrade/video/7051903645130018053,"Vacinas da covid-19 não devem ser obrigatórias, por Jair Bolsonaro",1,0,1
jonalaisa,https://www.tiktok.com/@jonalaisa,0,0,0,,,https://www.tiktok.com/@jonalaisa/video/7051340576343461125,"As crianças possuem 99% de índice de sobrevivência à covid-19, por isso não devem ser vacinadas",1,0,1
